Lg variety (name),ISO,Coord1,Coord2,GC01a,GC01b,GC01c,GC02a,GC02b,GC02c,GC02d,GC03,GC04a,GC04b,GC05a,GC05b,GC06a,GC06b,GC07a,GC07b,PH01a,PH01b,PH01c,PH02a,PH02b,PH03a,PH03b,PH03c,PH03d,PH04,PH05a,PH05b,PH06,PH07,PH08a,PH08b,WO01a,WO01b,WO02a,WO02b,WO02c,WO03,WO04a,WO04b,WO05a,WO05b,WO06,WO07a,WO07b,WO08,WO09,WO10,CS01a,CS01b,CS02a,CS02b,CS03a,CS03b,CS03c,CS04a,CS04b,CS05,CS06a,CS06b,CS06c,CS07,CS08,CS09,LX01a,LX01b,LX01c,LX01d,LX01e,LX02a,LX02b,LX03a,LX03b,LX04a,LX04b,LX05,LX06a,LX06b,LX07,LX08
Pashai_Aret,aee (at),70.72301,34.74631,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,?,?,0,0,1,1,1,1,?,?,?,?,1,1,0,0,0,1,0,0,1,0,1,1,1,?,1,0,0,1
Pashai_Chalas,aee (ch),70.86116,34.75934,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,?,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1
Pashai_Korangal,aee (kg),70.92458,34.90063,1,1,1,1,0,0,1,0,0,1,0,1,0,?,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,?,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1
Pashai_Sanjan,glh (sn),69.36181,35.13991,1,1,0,0,0,1,1,0,0,?,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,?,?,1,1,1,1,0,0,0,1,?,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
Pashai_Shemal,aee (sh),70.56220,34.75934,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,?,1,1,1,1,1,1,1,0,1,0,?,0,0,0,1,1,1,0,0,0,1,1,?,?,?,?,0,0,1,0,1,1,1,?,1,0,0,0
Pashto_A,pbu (a),69.64719,34.83931,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,?,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,?
Pashto_I,pbu (i),74.83829,34.26852,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
Pashto_P,pbu (p),72.78178,34.33962,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1
Prasun,prn,70.90193,35.33045,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,?,?,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
Purik,prx,76.01150,34.33588,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Rushani,sgh (r),71.42285,37.89160,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,?,?,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,?
Sanglechi,sgy,71.20996,36.29833,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
Sawi,sdg,71.45683,35.17324,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,?,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Shina_Gilgit,scl (p),74.30831,35.92140,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
Shina_Gurez,scl (i),74.77488,34.63830,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0
Shughni,sgh (a),71.44097,37.44340,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,?
Torwali,trw,72.55077,35.20655,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,?,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
Ushojo,ush,72.60512,35.12879,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,?,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Uzbek,uzs,70.38780,37.07386,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
Waigali,wbk,70.96082,35.13620,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,?,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,?,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,?,?,?,?,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0
Wakhi_A,wbl (a),72.59606,36.98526,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,?,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
