Grapheme	IPA	CLTS	Examples
qʰ	qʰ	aspirated voiceless uvular stop consonant	muqʰadam
qː	qː	long voiceless uvular stop consonant	jegirma_toqːuz, qirʁu_toqːuz, toqːuz
r	r	voiced alveolar trill consonant	abeːni_braː, ajeː_mu_muːjare_aɰa, ajeː_mu_muːjare_mahma
rh	r h	aspirated voiced alveolar trill consonant	purhaːlu
rs	r s	voiced alveolar trill consonant	parikərstə, xurs, xurs_χil
rw	r w	labialized voiced alveolar trill consonant	deːrwesam_maːʃiːm, də_χəze_rwandaːr, dərwiː
rʂ	r ʂ	voiced alveolar trill consonant	fərʂɑw
rʃ	r ʃ	voiced alveolar trill consonant	ataːdeːrʃ, atədeːrʃ, deːrʃ
rʒ	r ʒ	voiced alveolar trill consonant	xituːrʒ
rʰ	rʰ	aspirated voiced alveolar trill consonant	drʰiːt, drʰuːt, d͡ʑumaːtrʰ
rʲ	rʲ	palatalized voiced alveolar trill consonant	hoːwɨrʲ
r̥	r̥	devoiced voiced alveolar trill consonant	dʑagər̥, hr̥dun, hr̥naː
s	s	voiceless alveolar sibilant fricative consonant	[djuː_sat], abeːni_pas, adumus
sʲ	sʲ	palatalized voiceless alveolar sibilant fricative consonant	əsʲ, ɨsʲ
sː	sː	long voiceless alveolar sibilant fricative consonant	məsːin
t	t	voiceless alveolar stop consonant	[djuː_sat], abawaʒdaːt, abeːni_put
th:	tʰː	voiceless alveolar stop consonant	orth:_bɻaː_guːɽ
ts	ts	voiceless alveolar sibilant affricate consonant	altats, andeːts, atsĩ
tsʰ	tsʰ	aspirated voiceless alveolar sibilant affricate consonant	matsʰi, matsʰin, tsʰam
tt	tː	voiceless alveolar stop consonant	sattəːd͡ʒih, saːtte_biː, saːtte_triː
tw	t w	labialized voiceless alveolar stop consonant	djuː_wat͡sɑː_ʃtwɑː, wat͡sɑː_ʃtwɑː, ʃatwuh
tɕ	tɕ	voiceless alveolo-palatal sibilant affricate consonant	ajɲtɕ, altɕin, antɕ
tɕʰ	tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	atɕʰ, atɕʰnaː, ĩːtɕʰ
tɕʰː	tɕʰː	voiceless alveolar stop consonant	mətɕʰːiː
tʃ	tʃ	voiceless post-alveolar sibilant affricate consonant	batʃ, rutʃ, tetʃ
tʰ	tʰ	aspirated voiceless alveolar stop consonant	akʰhatʰ_dah, akʰhatʰ_tə_dah, akʰhatʰ_tə_wuh
tʲ	tʲ	palatalized voiceless alveolar stop consonant	iɕtʲub̥
tː	tː	long voiceless alveolar stop consonant	astːeːʒ, aʈʰatːiː, jegirma_jetːi
t͡s	ts	voiceless alveolar sibilant affricate consonant	altat͡s, altu_altʰar_altat͡s, altʰar_altat͡s
t͡sw	ts w	voiceless alveolar stop consonant	t͡swaːrlas, t͡swaːrləs
t͡sʰ	tsʰ	aspirated voiceless alveolar sibilant affricate consonant	alto_altʰer_t͡sʰundo, altu_altʰar_t͡sʰundo, altʰar_turma_t͡sʰundo
t͡ɕ	tɕ	voiceless alveolo-palatal sibilant affricate consonant	alto_altʰer_hun_t͡ɕo, altu_altʰar_hun_t͡ɕo, altʰar_hun_t͡ɕo
